gil,type,command,cycles,instructions,task_clock,time_elapsed,user_time,sys_time
true,plain,lib.py,83761388,146130353,22.05,0.020497851,0.022412000,0.000000000
true,plain,lib.py,85901242,146202040,22.55,0.021042531,0.011508000,0.011508000
true,plain,lib.py,84782081,146069517,22.91,0.021634692,0.023628000,0.000000000
true,plain,lib.py,85551909,146236988,21.75,0.020234410,0.022040000,0.000000000
true,plain,lib.py,83884546,146391106,21.64,0.020149826,0.021961000,0.000000000
true,plain,lib.py,84768911,146065071,21.90,0.020336226,0.022216000,0.000000000
true,plain,lib.py,85259404,146344147,22.27,0.020779373,0.022583000,0.000000000
true,plain,lib.py,85728552,146187984,21.98,0.020642893,0.022532000,0.000000000
true,multiprocessing,imap_unordered.py,5039643315,6942608899,1786.80,0.748957848,1.316208000,0.566301000
true,multiprocessing,imap_unordered.py,4271220632,5892623983,1475.76,0.538301461,1.142683000,0.400331000
true,multiprocessing,imap_unordered.py,4763793147,6532599898,1648.59,0.620006068,1.198296000,0.530092000
true,multiprocessing,imap_unordered.py,5313942052,7154219595,1984.02,0.890411036,1.309290000,0.791265000
true,multiprocessing,imap_unordered.py,4764493689,6523846130,1628.30,0.613113580,1.210399000,0.489169000
true,multiprocessing,imap_unordered.py,5481889418,7705683433,2101.79,1.025124114,1.456966000,0.779410000
true,multiprocessing,imap_unordered.py,5225128273,7203214146,1744.15,0.623309284,1.224388000,0.587540000
true,multiprocessing,imap_unordered.py,5085662147,7034930575,1814.13,0.704977299,1.295624000,0.607592000
true,multiprocessing,imap_unordered.py,5024114411,6908368533,1792.75,0.732057789,1.253452000,0.625873000
true,multiprocessing,imap_unordered.py,4782026962,6572893712,1632.54,0.598402527,1.223650000,0.477639000
true,multiprocessing,imap_unordered.py,4939854097,6759874066,1734.34,0.619911605,1.323178000,0.478211000
true,multiprocessing,imap_unordered.py,4507572990,6087675014,1511.07,0.463062995,1.187550000,0.378607000
true,multiprocessing,imap_unordered.py,4434843312,6020631090,1521.67,0.489029677,1.141025000,0.436188000
true,multiprocessing,imap_unordered.py,4703063388,6444508970,1746.96,0.727682758,1.182731000,0.658360000
true,multiprocessing,imap_unordered.py,4749241472,6574852245,1671.50,0.644701899,1.250833000,0.496717000
true,multiprocessing,imap_unordered.py,5079923391,6977005671,1788.10,0.671707288,1.419175000,0.446953000
true,multiprocessing,imap_unordered.py,4842361061,6617543271,1690.71,0.623207848,1.267804000,0.496293000
true,multiprocessing,imap_unordered.py,5199798222,7117518287,1888.85,0.726662839,1.416612000,0.565963000
true,multiprocessing,imap_unordered.py,4806238018,6534854309,1665.26,0.528077635,1.335823000,0.386825000
true,multiprocessing,imap_unordered.py,5577337441,7726343887,2017.02,0.782545401,1.432486000,0.681148000
true,multiprocessing,imap_unordered.py,4954079451,6844879428,1787.90,0.742992627,1.353222000,0.524941000
true,multiprocessing,imap_unordered.py,5544481604,7567832517,1991.14,0.795388273,1.440474000,0.647468000
true,multiprocessing,imap_unordered.py,5554534715,7690336081,2034.75,0.807605011,1.430931000,0.707845000
true,multiprocessing,imap_unordered.py,5227617639,7173455441,1873.83,0.711556955,1.454266000,0.508555000
true,multiprocessing,imap_unordered.py,4805132408,6612495416,1727.18,0.542086983,1.240527000,0.557305000
true,multiprocessing,imap_unordered.py,4622077940,6380375740,1665.69,0.596441113,1.203586000,0.538033000
true,multiprocessing,imap_unordered.py,4775426204,6357845512,1841.42,0.745696646,1.178883000,0.766571000
true,multiprocessing,imap_unordered.py,4649666994,6148753157,1817.68,0.647766300,1.385160000,0.508090000
true,multiprocessing,imap_unordered.py,5361985042,7140154456,2073.38,0.761649236,1.618983000,0.539401000
true,multiprocessing,imap_unordered.py,4932133906,6625631721,1862.81,0.581437400,1.436423000,0.493602000
true,multiprocessing,imap.py,5166231153,6984235375,1920.67,0.678962678,1.504400000,0.488249000
true,multiprocessing,imap.py,4540456622,6044943438,1753.34,0.580166654,1.287188000,0.530714000
true,multiprocessing,imap.py,5090809862,6786377080,2024.34,0.795999735,1.457770000,0.657917000
true,multiprocessing,imap.py,4665553727,6438519611,1683.94,0.584639150,1.276880000,0.476510000
true,multiprocessing,imap.py,4470380645,6139108845,1689.38,0.633498668,1.296530000,0.472280000
true,multiprocessing,imap.py,4752097651,6568802583,1760.35,0.708171931,1.422994000,0.423591000
true,multiprocessing,imap.py,4792726002,6545913354,1796.33,0.730584218,1.342249000,0.545782000
true,multiprocessing,imap.py,4767872242,6604964077,1701.76,0.622185309,1.254329000,0.522593000
true,multiprocessing,imap.py,4905883586,6636482510,1734.03,0.571185820,1.394474000,0.404160000
true,multiprocessing,imap.py,4872982195,6686707895,1772.78,0.674824376,1.299228000,0.548578000
true,multiprocessing,imap.py,4759946905,6548295663,1701.72,0.569362840,1.356771000,0.412595000
true,multiprocessing,imap.py,5077566350,6998868554,1867.88,0.770611990,1.268321000,0.691759000
true,multiprocessing,imap.py,5254797419,7197450334,1852.78,0.666077712,1.403889000,0.527493000
true,multiprocessing,imap.py,4846083511,6651272079,1725.15,0.651025117,1.275018000,0.523602000
true,multiprocessing,imap.py,4817467754,6590776117,1727.20,0.641528310,1.282192000,0.517759000
true,multiprocessing,imap.py,5465733683,7481421202,1956.06,0.748260292,1.504029000,0.539989000
true,multiprocessing,imap.py,5186370186,7180204373,1811.17,0.629647588,1.427277000,0.451404000
true,multiprocessing,imap.py,4612026818,6343786047,1684.00,0.628100912,1.277951000,0.480526000
true,multiprocessing,imap.py,4640242481,6291134226,1626.53,0.615565372,1.278627000,0.413196000
true,multiprocessing,imap.py,5236495173,7085642271,1816.76,0.629735430,1.428597000,0.455479000
true,multiprocessing,imap.py,4200823464,5751202498,1451.39,0.441982593,1.156928000,0.336364000
true,multiprocessing,imap.py,4945914077,6792980553,1831.33,0.753966294,1.318059000,0.604160000
true,multiprocessing,imap.py,4427826517,6038054936,1541.20,0.551557213,1.173625000,0.430192000
true,multiprocessing,imap.py,5028894717,6821283538,1767.95,0.599521051,1.426238000,0.409517000
